SaleID,DateSold,Address,City,State,Zip,Beds,Baths,SqFt,LotAcres,YearBuilt,SalePrice,PropertyType,Latitude,Longitude,AgentName,ListingOffice,DaysOnMarket
HS0522,2023-11-21,8101 Cedar Ln,Riverside,CA,54035,3,2.8,3664,0.38,2024,518008,Single Family,33.895633,-117.480567,Jordan Lee,Lakeside Properties,163
HS0738,2020-04-25,4928 Ridge Blvd,Madison,WI,82286,3,1.8,2910,0.95,1917,315478,Single Family,43.087647,-89.353308,Taylor Brooks,Lakeside Properties,188
HS0741,2023-10-02,4798 Cedar Blvd,Springfield,IL,17864,3,2.4,1228,0.44,2006,154868,Single Family,39.810934,-89.668611,Sam Carter,Summit Brokers,183
HS0661,2020-10-23,562 Elm Rd,Columbus,OH,89355,3,2.3,1449,0.32,2021,165738,Condo,39.956959,-82.923294,Alex Morgan,Prime Realty,198
HS0412,2023-04-02,9847 Highland Blvd,Albany,NY,69682,3,2.1,3686,2.35,1947,402739,Single Family,42.661192,-73.728537,Jamie Rivera,Lakeside Properties,141
HS0679,2022-09-26,2122 Chestnut Way,Seattle,WA,92716,1,1.9,2063,1.79,2003,343961,Single Family,47.657956,-122.309822,Taylor Brooks,Urban Homes,188
HS0627,2021-10-21,3831 Cedar Ave,Albany,NY,19351,4,2.7,2056,0.21,1942,250661,Single Family,42.736829,-73.664005,Casey Nguyen,Hearthstone Realty,49
HS0514,2020-09-17,586 Cedar St,Madison,WI,18942,3,1.8,1027,1.57,1941,119632,Condo,43.177402,-89.451938,Casey Nguyen,Summit Brokers,160
HS0860,2023-11-20,5615 Highland Ave,Columbus,OH,15929,2,2.4,1455,1.7,1994,129371,Condo,39.96947,-83.067901,Casey Nguyen,Lakeside Properties,180
HS0137,2020-10-16,2408 Cedar St,Burlington,VT,48038,2,2.5,685,0.39,2015,73245,Mobile Home,44.510638,-73.265141,Morgan Patel,Summit Brokers,185
HS0812,2022-05-23,6989 Sunset Way,Austin,TX,13627,2,1.6,2954,0.96,2016,632403,Single Family,30.174871,-97.764533,Jordan Lee,Summit Brokers,132
HS0077,2020-07-14,8238 Spruce Ln,Springfield,IL,89569,3,1.9,744,1.08,1992,79964,Condo,39.741175,-89.695327,Jamie Rivera,Prime Realty,80
HS0637,2024-03-10,7402 Pine Ct,Madison,WI,89278,1,1.5,5798,0.6,1958,926156,Multi-Family,43.077088,-89.444162,Logan Brown,Prime Realty,189
HS0974,2021-05-04,4541 Birch Ln,Phoenix,AZ,56575,2,1.5,920,0.19,2011,127760,Single Family,33.435122,-112.005495,Riley Smith,Prime Realty,115
HS0939,2020-01-08,8347 Pine Ct,Madison,WI,12992,2,1.6,1035,0.36,1987,166570,Condo,43.001332,-89.430168,Morgan Patel,Prime Realty,191
HS0900,2020-09-19,7813 View Way,Springfield,IL,74264,3,1.4,1980,1.44,1903,248145,Single Family,39.762506,-89.639986,Taylor Brooks,Urban Homes,22
HS0281,2024-05-22,8671 Willow Terrace,Albany,NY,63707,3,2.0,3640,0.51,1988,333338,Multi-Family,42.706824,-73.785077,Morgan Patel,Urban Homes,1
HS0884,2022-06-29,6705 View Way,Madison,WI,78603,3,2.1,3547,4.8,1952,519105,Single Family,43.064294,-89.397051,Morgan Patel,Urban Homes,10
HS0762,2025-06-20,3681 Willow Ct,Springfield,IL,81576,2,1.2,1416,1.54,1924,187873,Single Family,39.747631,-89.601709,Alex Morgan,Hearthstone Realty,209
HS0320,2021-09-05,9760 Spruce Blvd,Burlington,VT,70909,1,0.7,3504,0.44,1984,436209,Single Family,44.489028,-73.202421,Logan Brown,Urban Homes,194
HS0550,2020-01-22,3579 Highland St,Portland,OR,78945,2,0.9,3520,0.35,1963,628937,Single Family,45.499928,-122.736953,Morgan Patel,Prime Realty,73
HS0175,2019-07-18,2873 Elm Way,Columbus,OH,34123,3,3.1,1099,1.36,1909,97117,Townhouse,39.971078,-82.976339,Alex Morgan,Lakeside Properties,36
HS0372,2024-09-03,1228 River Blvd,Madison,WI,68901,3,1.4,2130,0.39,1999,245009,Single Family,43.068928,-89.473682,Riley Smith,Urban Homes,5
HS0528,2020-07-12,4123 Spruce Way,Springfield,IL,73620,2,3.2,2817,0.25,1934,368799,Single Family,39.806979,-89.575644,Alex Morgan,Hearthstone Realty,203
